InChI,Key,smiles,Formula,Weight,logP(o/w),b_rotN,vol,lip_violation,ASA_P,Natural,ChemicalName
"InChI=1S/C9H17NO4/c1-7(11)14-8(5-9(12)13)6-10(2,3)4/h8H,5-6H2,1-4H3/p+1",RDHQFKQIGNGIED-UHFFFAOYSA-O,O(C(CC(O)=O)C[N+](C)(C)C)C(=O)C,C10H11ClO3,204.246,-0.5450,6,180.13,0,185.23958,1,(2-acetoxy-3-carboxy-propyl)-trimethyl-ammonium
"InChI=1S/C7H8O4/c8-5-3-1-2-4(6(5)9)7(10)11/h1-3,5-6,8-9H,(H,10,11)",INCSWYKICIYAHB-UHFFFAOYSA-N,OC1C(=CC=CC1O)C(O)=O,C10H11N3O3S,156.13699,-0.4970,1,128.38,0,194.08443,0,"5,6-dihydroxycyclohexa-1,3-diene-1-carboxylic acid"
"InChI=1S/C3H9NO/c1-3(5)2-4/h3,5H,2,4H2,1H3",HXKKHQJGJAFBHI-UHFFFAOYSA-N,OC(CN)C,C10H12O3,75.111,-0.8580,1,69.50,0,110.71668,1,1-aminopropan-2-ol
"InChI=1S/C3H8NO5P/c4-1-3(5)2-9-10(6,7)8/h1-2,4H2,(H2,6,7,8)",HIQNVODXENYOFK-UHFFFAOYSA-N,P(OCC(=O)CN)(O)(O)=O,C12H7Cl3O2,169.073,-2.6520,4,109.75,0,262.39868,1,(3-amino-2-oxo-propyl) dihydrogen phosphate
"InChI=1S/C7H9N5/c1-2-12-4-11-5-6(8)9-3-10-7(5)12/h3-4H,2H2,1H3,(H2,8,9,10)",MUIPLRMGAXZWSQ-UHFFFAOYSA-N,n1cnc2n(cnc2c1N)CC,C13H10N2O3S,163.18399,-0.0229,1,153.50,0,163.59038,0,9-ethylpurin-6-amine
"InChI=1S/C6H12O4/c1-3-6(2,10)4(7)5(8)9/h4,7,10H,3H2,1-2H3,(H,8,9)",PDGXJDXVGMHUIR-UHFFFAOYSA-N,OC(C(O)C(O)=O)(CC)C,C13H18O2,148.15799,0.0110,3,118.25,0,148.04482,1,"2,3-dihydroxy-3-methyl-pentanoic acid"
"InChI=1S/C6H13O9P/c7-1-2(8)4(10)6(5(11)3(1)9)15-16(12,13)14/h1-11H,(H2,12,13,14)",INAPMGSXUVUWAF-UHFFFAOYSA-N,P(OC1C(O)C(O)C(O)C(O)C1O)(O)(O)=O,C13H9Cl3N2O,260.13501,-4.3870,2,155.38,1,307.54376,0,"(2,3,4,5,6-pentahydroxycyclohexyl) dihydrogen phosphate"
"InChI=1S/C20H23N7O7/c21-20-25-16-15(18(32)26-20)23-11(7-22-16)8-27(9-28)12-3-1-10(2-4-12)17(31)24-13(19(33)34)5-6-14(29)30/h1-4,9,11,13,23H,5-8H2,(H,24,31)(H,29,30)(H,33,34)(H4,21,22,25,26,32)",AUFGTPPARQZWDO-UHFFFAOYSA-N,O=C1N=C(NC=2NCC(NC1=2)CN(C=O)c1ccc(cc1)C(=O)NC(CCC(O)=O)C(O)=O)N,C14H12O3,473.44598,-0.4760,11,391.88,2,459.96976,1,"2-[[4-[(2-amino-4-oxo-5,6,7,8-tetrahydro-1<I>H</I>-pteridin-6-yl)methyl-formyl-amino]benzoyl]amino]pentanedioic acid"
"InChI=1S/C6H6O4/c7-3-1-4(8)6(10)5(9)2-3/h1-2,7-10H",RDJUHLUBPADHNP-UHFFFAOYSA-N,Oc1c(O)cc(O)cc1O,C15H12N2O,142.11,0.7440,0,110.38,0,173.03455,1,"benzene-1,2,3,5-tetrol"
"InChI=1S/C20H32O5/c1-2-3-6-9-15(21)12-13-17-16(18(22)14-19(17)23)10-7-4-5-8-11-20(24)25/h12-13,16-17,19,23H,2-11,14H2,1H3,(H,24,25)",VXPBDCBTMSKCKZ-UHFFFAOYSA-N,OC1CC(=O)C(CCCCCCC(O)=O)C1C=CC(=O)CCCCC,C4H4KNO4S,352.47098,2.8270,13,334.75,0,169.72546,0,7-[3-hydroxy-5-oxo-2-[(<I>E</I>)-3-oxooct-1-enyl]cyclopentyl]heptanoic acid
"InChI=1S/C19H30O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h12,14-17,21H,3-11H2,1-2H3",NVKAWKQGWWIWPM-UHFFFAOYSA-N,OC1CCC2C3C(CCC12C)C1(C(CC(=O)CC1)CC3)C,C7H6O3,290.44699,3.6540,0,248.00,0,78.632828,1,"17-hydroxy-10,13-dimethyl-1,2,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydrocyclopenta[a]phenanthren-3-one"
"InChI=1S/C12H22N2O2/c15-11-7-3-1-5-9-13-12(16)8-4-2-6-10-14-11/h1-10H2,(H,13,16)(H,14,15)",HERSSAVMHCMYSQ-UHFFFAOYSA-N,O=C1NCCCCCC(=O)NCCCCC1,C7H8N4O2,226.31999,1.0200,0,206.63,0,127.94552,0,"1,8-diazacyclotetradecane-2,9-dione"
"InChI=1S/C7H7NO4/c9-6(10)4-2-1-3-5(8-4)7(11)12/h1-2,5H,3H2,(H,9,10)(H,11,12)",UWOCFOFVIBZJGH-UHFFFAOYSA-N,OC(=O)C1N=C(C=CC1)C(O)=O,C8H10N4O2,169.136,-0.5930,2,140.38,0,219.21098,1,"2,3-dihydropyridine-2,6-dicarboxylic acid"
"InChI=1S/C6H8O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h2-3,7-9H,1H2,(H,12,13)",GJQWCDSAOUMKSE-UHFFFAOYSA-N,OC(C(O)CO)C(=O)C(=O)C(O)=O,C8H14ClN5,192.123,-2.9350,5,141.13,0,259.04251,1,"4,5,6-trihydroxy-2,3-dioxo-hexanoic acid"
"InChI=1S/C7H6O4/c8-5-3-1-2-4(6(5)9)7(10)11/h1-3,8-9H,(H,10,11)",GLDQAMYCGOIJDV-UHFFFAOYSA-N,Oc1c(cccc1O)C(O)=O,C8H8O3,154.121,0.9630,1,128.38,0,164.02513,0,"2,3-dihydroxybenzoic acid"
"InChI=1S/C9H10O4/c10-7-3-1-2-6(9(7)13)4-5-8(11)12/h1-3,10,13H,4-5H2,(H,11,12)",QZDSXQJWBGMRLU-UHFFFAOYSA-N,Oc1c(cccc1O)CCC(O)=O,C8H9NO2,182.175,1.1390,3,158.88,0,144.4606,1,"3-(2,3-dihydroxyphenyl)propanoic acid"
"InChI=1S/C6H10O4/c1-3-6(10,4(2)7)5(8)9/h10H,3H2,1-2H3,(H,8,9)",VUQLHQFKACOHNZ-UHFFFAOYSA-N,OC(C(=O)C)(CC)C(O)=O,C9H10O3,146.142,-0.0760,3,116.00,0,147.98842,0,2-ethyl-2-hydroxy-3-oxo-butanoic acid
"InChI=1S/C5H8O4/c1-3(6)5(2,9)4(7)8/h9H,1-2H3,(H,7,8)",NMDWGEGFJUBKLB-UHFFFAOYSA-N,OC(C(=O)C)(C(O)=O)C,C9H8O2,132.11499,-0.6900,2,101.88,0,150.36174,1,2-hydroxy-2-methyl-3-oxo-butanoic acid
"InChI=1S/C7H7NO5/c8-5(7(12)13)4(6(10)11)2-1-3-9/h1-3H,8H2,(H,10,11)(H,12,13)",KACPVQQHDVBVFC-UHFFFAOYSA-N,OC(=O)/C(=C(\N)/C(O)=O)/C=C/C=O,C10H11ClO3,185.13499,-2.6657,4,150.63,0,283.24561,1,(<I>Z</I>)-2-amino-3-[(<I>E</I>)-3-oxoprop-1-enyl]but-2-enedioic acid
"InChI=1S/C9H17N5O8/c10-8-11-5-3(6(18)12-8)14(22)9(20,7(19)13(5)21)4(17)2(16)1-15/h2-5,7,15-17,19-22H,1H2,(H3,10,11,12,18)",SQDFRPSZAQYREW-UHFFFAOYSA-N,OC1(N(O)C2C(N=C(NC2=O)N)N(O)C1O)C(O)C(O)CO,C10H11N3O3S,323.26199,-5.8130,3,217.38,2,377.80411,0,"2-amino-5,6,7,8-tetrahydroxy-6-(1,2,3-trihydroxypropyl)-3,4<I>a</I>,7,8<I>a</I>-tetrahydropteridin-4-one"
"InChI=1S/C9H15N5O6/c10-9-12-6-4(7(18)13-9)11-3(8(19)14(6)20)5(17)2(16)1-15/h2-3,5,8,11,15-17,19-20H,1H2,(H3,10,12,13,18)",KQZRTOGFDRQBSR-UHFFFAOYSA-N,OC1N(O)C=2N=C(NC(=O)C=2NC1C(O)C(O)CO)N,C10H12O3,289.24799,-4.2810,3,212.38,2,337.60471,1,"2-amino-7,8-dihydroxy-6-(1,2,3-trihydroxypropyl)-3,5,6,7-tetrahydropteridin-4-one"
"InChI=1S/C9H11N5O5/c1-2(15)5(16)3-8(18)14(19)6-4(11-3)7(17)13-9(10)12-6/h4,6,8,18-19H,1H3,(H3,10,12,13,17)",FNUPJNCDWIHIRQ-UHFFFAOYSA-N,OC1N(O)C2N=C(NC(=O)C2N=C1C(=O)C(=O)C)N,C12H7Cl3O2,269.21698,-4.0870,2,210.00,0,315.56296,0,"1-(2-amino-7,8-dihydroxy-4-oxo-3,4<I>a</I>,7,8<I>a</I>-tetrahydropteridin-6-yl)propane-1,2-dione"
"InChI=1S/C9H16N5O15P3/c10-9-12-6-4(7(17)13-9)11-3(8(18)14(6)19)5(16)2(15)1-27-31(23,24)29-32(25,26)28-30(20,21)22/h2,5,8,15-16,18-19H,1H2,(H,23,24)(H,25,26)(H2,20,21,22)(H3,10,12,13,17)",FJABOXLKMYLFAN-UHFFFAOYSA-N,P(OCC(O)C(O)C1=NC2=C(NC(=NC2=O)N)N(O)C1O)(OP(OP(O)(O)=O)(O)=O)(O)=O,C13H10N2O3S,527.16901,-6.3880,9,314.63,3,607.85522,1,"[[3-(2-amino-7,8-dihydroxy-4-oxo-1,7-dihydropteridin-6-yl)-2,3-dihydroxy-propoxy]-hydroxy-phosphoryl] phosphono hydrogen phosphate"
"InChI=1S/C6H7NO4/c7-4(6(10)11)2-1-3-5(8)9/h1-3H,7H2,(H,8,9)(H,10,11)",ZRHONLCTYUYMIQ-UHFFFAOYSA-N,OC(=O)C(N)=CC=CC(O)=O,C13H18O2,157.125,-2.4037,3,130.50,0,246.96025,1,"(2<I>Z</I>,4<I>E</I>)-2-aminohexa-2,4-dienedioic acid"
"InChI=1S/C3H5NO3/c4-2(1-5)3(6)7/h1-2H,4H2,(H,6,7)",XMTCKNXTTXDPJX-UHFFFAOYSA-N,OC(=O)C(N)C=O,C13H9Cl3N2O,103.077,-3.6437,2,80.50,0,208.99942,0,2-amino-3-oxo-propanoic acid
